track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7129iqBafaphfc3WPCGC0L,7 Years,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,6NQ2RNksdSKdtnlFOLJo24,237300,2015-06-16,53,0.742,0.479,10,-5.83,1,0.0551,0.29,0.0,0.391,0.346,119.951
0tICYNayWWhH9GPeFrfjfD,This Girl (Kungs Vs. Cookin' On 3 Burners),7keGfmQR4X5w0two1xKZ7d,Kungs,3nxlM2DFwij3JVP55yNRya,195546,2016-11-04,0,0.793,0.729,0,-4.77,0,0.0394,0.08,3.1e-05,0.317,0.488,121.972
4ckuS4Nj4FZ7i3Def3Br8W,Sneakin’,3TVXtAsR1Inumwj472S9r4,Drake,2z3NlPY0n0gHJPCPqrzA6V,251333,2016-10-24,66,0.806,0.558,8,-6.538,1,0.172,0.00496,1.45e-06,0.16,0.26,85.011
7JYsArznYOjX2jsrT3UEnL,OOOUUU,7LvoDJUNGnOrPdGRzVtOJ9,Young M.A,23Fvpx2T1drg9lJ4WC0fXl,234649,2017-04-27,66,0.635,0.847,7,-3.152,1,0.447,0.533,0.0,0.154,0.568,166.072
2wDjpPW3HZdA9quPPmZAMu,Trust Nobody (feat. Selena Gomez & Tory Lanez),2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,0JjoGwsBjce2mgHRliH0VN,215670,2017-04-28,0,0.42,0.636,10,-7.216,1,0.22,0.494,0.0,0.122,0.784,156.104
2BrzlUj1u1CtvaJDGIKpsP,Make Me (Cry),55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,46yAYzRhSMPA44m0MzSr6g,242081,2016-11-15,67,0.588,0.471,0,-7.287,1,0.0577,0.592,0.00146,0.0733,0.209,152.881
2HzfRSfCogBSsgW2CckVA2,Lot to Learn,787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,2y3AR5hVWrVnM24Rh4ENYH,248386,2017-07-28,55,0.422,0.852,6,-3.546,1,0.208,0.0845,0.0,0.0687,0.666,82.914
6OZh916QF8XNunWaP97WEZ,Fast Car,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,5jfuIbTeaLhBZxsCVv3QyM,212424,2015-12-04,0,0.459,0.587,9,-6.983,1,0.0785,0.453,0.0,0.307,0.581,113.901
0v9Wz8o0BT8DU38R4ddjeH,No Problem (feat. Lil Wayne & 2 Chainz),1anyVhU62p31KFi8MEzkbf,Chance the Rapper,71QyofYesSsRMwFOTafnhB,304606,2016-05-27,68,0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.788,135.018
4vb4mFvYsr2h6enhjJsq9Y,Water Under the Bridge,4dpARuHxo51G3z768sgnrY,Adele,0K4pIOOsfJ9lK8OjrZfXzd,240426,2016-06-24,0,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54e-05,0.108,0.472,94.982
